word,definition
consistent,adj. 一致的
battery,n. 电池
competent,adj. 能胜任的，有能力的
preserve,v. 保存，保护
possession,n. 拥有
proximately,adv. 近似，接近
wildfire,n. 野火
compact,adj. 紧密的，紧凑的
defy,v. 违背，违抗
absolutely,adv. 当然
filter,v. 过滤
server,n. 服务器
spoil,v. 溺爱
rustle,v. 发出沙沙声
diversion,n. 转移
complaint,n. 抱怨，投诉
merge,v. 合并
priceless,adj. 无价的，难以用价格衡量的
honorary,adj. 荣誉的
chronic,adj. 长期的
extracurricular,adj. 课外的
lobby,n. 游说
inexhaustible,adj. 用不完的，无穷无尽的
inevitable,adj. 不可避免的
contamination,n. 污染
suspend,v. 暂停
imminent,adj. 即将来临的
obesity,n. 肥胖
aid,v. 援助，有助于
solution,n. 解决，解决方法
tuition,n. 学费
esteem,v. 尊重
purchase,n. 购买
incorporate,v. 合并
prevail,v. 流行，普遍
irrational,adj. 不合理的，不理性的
inherent,adj. 固有的
overexcited,adj. 过于激烈的
preference,n. 偏爱
evolution,n. 演变
exotic,adj. 异域的，外国的
stockbroker,n. 股票经理人
misinterpret,v. 误解
prosperity,n. 繁荣
tank,n. 水箱
outdated,adj. 过时的
outnumber,v. 超过
supervisor,n. 督导
fluctuate,v. 波动
substance,n. 物质
profitable,adj. 有利可图的，有利益的
markedly,adv. 显著地
ineffective,adj. 无效的
bleak,adj. 荒凉的
optimistic,adj. 乐观的
ultimate,adj. 最终的
consumption,n. 消耗
foster,v. 促进
receipt,n. 发票
harsh,adj. 严酷的，严峻的
misfortune,n. 不幸
citation,n. 引文
rape,n. 强奸
ecological,adj. 生态学的
lag,v. 落后
controversy,n. 争议
cornerstone,n. 基石
erect,v. 建立
prematurely,adv. 早熟地，过早地
initiative,n. 主动性
dilute,v. 稀释，冲淡
viewpoint,n. 观点
typical,adj. 典型的
stray,n. 走失[流浪]的动物
imbalance,n. 不平衡
affiliation,n. 隶属关系，单位团体
counterpart,n. 对等物
classify,v. 分类
demonstration,n. 展示
outlive,v. 比……活的时间长
reservation,n. 预定
circumstance,n. 情况，环境
revolutionize,v. 革命化
outweigh,v. 超过
cast,v. 投掷，扔
uncertain,adj. 不确定的
threat,n. 威胁
conservative,adj. 保守的
overestimate,v. 高估
documentary,n. 纪录片
relieve,v. 减轻，缓解
